4036|knesset_election1|סקר בחירות מיום 28.7.2026.pdf|שמואל רוזנר|ערוץ 13|2026-07-27|2026-08-01|
4040|knesset_election2|סקר בחירות מיום 2.8.2026.pdf|קנטאר ישראל|תאגיד השידור כאן , כנפי נשרים 23 , ירושלים|2026-08-01|2026-08-02|
4042|knesset_election3|סקר בחירות מיום 29.7.2026.pdf|טאטיקה מחקרים ומדיה|זמן ישראל|2026-07-28|2026-08-02|
4046|knesset_election4|סקר בחירות מיום 4.8.2026.pdf|מדגם יעוץ ומחקר|חדשות 12|2026-08-02|2026-08-03|
4047|knesset_election5|4047-סקר בחירות מיום 5.8.2026.pdf|מאגר מוחות|ערוץ 16|2026-08-02|2026-08-04|
4048|knesset_election6|4048-סקר בחירות מיום 5.8.2026.pdf|שמואל רוזנר|ערוץ 13|2026-07-27|2026-08-04|
4049|knesset_election26|סקר בחירות מיום 5.8.2026.pdf|נקסט דאטה - שלמה פילבר|אתר סרוגים|2026-07-26|2026-08-04|התבקשו השלמות - גודל המדגם ההתחלתי, המספר והאחוז של האנשים שסירבו או לא התאימו להשתתף בסקר, מרווח הטעות
4052|knesset_election7|סקר בחירות מיום 6.8.2026.pdf|שמואל רוזנר|ערוץ 13|2026-08-03|2026-08-05|
4054|knesset_election8|4054-סקר בחירות מיום 9.8.2026.pdf|ד"ר מנחם לזר|עיתון מעריב|2026-07-28|2026-08-08|
4055|knesset_election9|4055-סקר בחירות מיום 9.8.2026.pdf|מנחם לזר|עיתון מעריב|2026-08-04|2026-08-08|
4056|knesset_election10|4056-סקר בחירות מיום 9.8.2026.pdf|קנטאר ישראל|עיתון ישראל היום בע"מ|2026-08-04|2026-08-08|
4057|knesset_election11|סקר בחירות מיום 9.8.2026.pdf|טאטיקה מחקרים ומדיה|זמן ישראל|2026-08-04|2026-08-08|
4059|knesset_election12|4059-סקר בחירות מיום 11.8.2026.pdf|מאגר מוחות|ערוץ 16|2026-08-09|2026-08-10|
4061|knesset_election13|4061-סקר בחירות מיום 11.8.2026.pdf|קנטאר ישראל|תאגיד השידור|2026-08-08|2026-08-10|
