Date,Polling firm,Publisher,"Yes, in any coalition",Only in center-left coalition,"Oppose, but support govt from outside",Oppose any government,,Combined Yes,Combined No
5 Aug 26,Midgam Project,Channel 13,— N/a,— N/a,— N/a,— N/a,,65%,23%
17 Jul 26,Lazar,Maariv,— N/a,— N/a,— N/a,— N/a,,70%,10%
14 May 2026,Stat-Net Research Institute,"KAP, Tel Aviv University",43.3%,33.9%,11.6%,6.7%,,77.2%,18.3%
25 November 2025,Stat-Net Research Institute,"KAP, Tel Aviv University",45.6%,31.8%,10.5%,8.4%,,77.4%,18.9%
25 June 2025,Stat-Net Research Institute,"KAP, Tel Aviv University",41.8%,31.4%,11.7%,11.3%,,73.2%,23%
10–17 Feb 2025,Stat-Net Research Institute,The Abraham Initiatives,44%,33%,12%,9%,,77%,21%
12 December 2024,Stat-Net Research Institute,"KAP, Tel Aviv University",47.8%,24.0%,12.9%,12.5%,,71.8%,25.4%
20 June 2024,Stat-Net Research Institute,"KAP, Tel Aviv University",40.2%,28.5%,16.3%,14.2%,,68.7%,30.5%
3 December 2023,Stat-Net Research Institute,"KAP, Tel Aviv University",46.9%,18.9%,7.2%,20.2%,,65.8%,27.4%
26 June 2023,Stat-Net Research Institute,"KAP, Tel Aviv University",46.6%,16.7%,13.8%,13.5%,,63.3%,27.3%
