fieldwork_end,pollster,scenario,list,seats,below_pct
2026-08-24,Midgam R&C,baseline,Ra'am,4.0,
2026-08-24,Midgam R&C,baseline,Balad+Hadash+Ta'al,7.0,
2026-08-24,Midgam R&C,with_segalovitz,Ra'am+Segalovitz,4.0,
2026-08-24,Midgam R&C,with_segalovitz,Balad+Hadash+Ta'al,7.0,
2026-08-23,Kantar,baseline,Ra'am,5.0,
2026-08-23,Kantar,baseline,Balad+Hadash+Ta'al,7.0,
2026-08-23,Kantar,with_segalovitz,Ra'am+Segalovitz,5.0,
2026-08-23,Kantar,with_segalovitz,Balad+Hadash+Ta'al,7.0,
2026-08-13,Lazar,baseline,Ra'am,5.0,
2026-08-13,Lazar,baseline,Hadash+Ta'al,6.0,
2026-08-13,Lazar,baseline,Balad,,1.8
2026-08-13,Lazar,with_segalovitz,Ra'am+Segalovitz,6.0,
2026-08-13,Lazar,with_segalovitz,Balad+Hadash+Ta'al,8.0,
2026-08-12,Midgam Project,baseline,Ra'am,5.0,
2026-08-12,Midgam Project,baseline,Hadash+Ta'al,6.0,
2026-08-12,Midgam Project,baseline,Balad,,1.44
2026-08-12,Midgam Project,with_segalovitz,Ra'am+Segalovitz,5.0,
2026-08-12,Midgam Project,with_segalovitz,Balad+Hadash+Ta'al,9.0,
2026-08-10,Midgam R&C,baseline,Ra'am,5.0,
2026-08-10,Midgam R&C,baseline,Hadash+Ta'al,5.0,
2026-08-10,Midgam R&C,baseline,Balad,,1.92
2026-08-10,Midgam R&C,with_segalovitz,Ra'am+Segalovitz,6.0,
2026-08-10,Midgam R&C,with_segalovitz,Balad+Hadash+Ta'al,6.0,
2026-08-09,Kantar,baseline,Ra'am,6.0,
2026-08-09,Kantar,baseline,Hadash+Ta'al,5.0,
2026-08-09,Kantar,baseline,Balad,,2.52
2026-08-09,Kantar,with_segalovitz,Ra'am+Segalovitz,5.0,
2026-08-09,Kantar,with_segalovitz,Balad+Hadash+Ta'al,8.0,
2026-08-05,Midgam Project,baseline,Ra'am,5.0,
2026-08-05,Midgam Project,baseline,Hadash+Ta'al,6.0,
2026-08-05,Midgam Project,baseline,Balad,,1.44
2026-08-05,Midgam Project,with_segalovitz,Ra'am+Segalovitz,7.0,
2026-08-05,Midgam Project,with_segalovitz,Balad+Hadash+Ta'al,8.0,
2026-08-03,Midgam R&C,baseline,Ra'am,5.0,
2026-08-03,Midgam R&C,baseline,Hadash+Ta'al,5.0,
2026-08-03,Midgam R&C,baseline,Balad,,1.2
2026-08-03,Midgam R&C,with_segalovitz,Ra'am+Segalovitz,6.0,
2026-08-03,Midgam R&C,with_segalovitz,Balad+Hadash+Ta'al,5.0,
2026-08-02,Kantar,baseline,Ra'am,5.0,
2026-08-02,Kantar,baseline,Hadash+Ta'al,6.0,
2026-08-02,Kantar,baseline,Balad,,2.64
2026-08-02,Kantar,with_segalovitz,Ra'am+Segalovitz,5.0,
2026-08-02,Kantar,with_segalovitz,Hadash+Ta'al,6.0,
2026-07-27,Midgam R&C,baseline,Ra'am,5.0,
2026-07-27,Midgam R&C,baseline,Hadash+Ta'al,5.0,
2026-07-27,Midgam R&C,baseline,Balad,,1.44
2026-07-27,Midgam R&C,baseline,Ra'am,4.0,
2026-07-27,Midgam R&C,baseline,Balad+Hadash+Ta'al,6.0,
2026-07-02,Yossi Tatika,baseline,Ra'am,4.0,
2026-07-02,Yossi Tatika,baseline,Hadash+Ta'al,5.0,
2026-07-02,Yossi Tatika,baseline,Ra'am,5.0,
2026-07-02,Yossi Tatika,baseline,Balad+Hadash+Ta'al,7.0,
2026-07-01,Midgam Project,baseline,Ra'am,5.0,
2026-07-01,Midgam Project,baseline,Hadash+Ta'al,6.0,
2026-07-01,Midgam Project,baseline,Ra'am,4.0,
2026-07-01,Midgam Project,baseline,Balad+Hadash+Ta'al,10.0,
2026-06-25,Yossi Tatika,baseline,Ra'am,4.0,
2026-06-25,Yossi Tatika,baseline,Hadash+Ta'al,4.0,
2026-06-25,Yossi Tatika,baseline,Ra'am,4.0,
2026-06-25,Yossi Tatika,baseline,Balad+Hadash+Ta'al,6.0,
2026-06-04,Yossi Tatika,baseline,Ra'am,4.0,
2026-06-04,Yossi Tatika,baseline,Hadash+Ta'al,4.0,
2026-06-04,Yossi Tatika,baseline,Balad+Hadash+Ra'am+Ta'al,13.0,
2026-05-28,Yossi Tatika,baseline,Ra'am,5.0,
2026-05-28,Yossi Tatika,baseline,Hadash+Ta'al,5.0,
2026-05-28,Yossi Tatika,baseline,Balad+Hadash+Ra'am+Ta'al,13.0,
2026-05-25,Maagar Mochot,baseline,Ra'am,4.0,
2026-05-25,Maagar Mochot,baseline,Hadash+Ta'al,6.0,
2026-05-25,Maagar Mochot,baseline,Balad+Hadash+Ra'am+Ta'al,16.0,
2026-05-20,Kantar,baseline,Ra'am,5.0,
2026-05-20,Kantar,baseline,Hadash+Ta'al,5.0,
2026-05-20,Kantar,baseline,Balad+Hadash+Ra'am+Ta'al,13.0,
2026-04-26,Stat-Net Research Institute,baseline,Ra'am,4.0,
2026-04-26,Stat-Net Research Institute,baseline,Hadash+Ta'al,5.0,
2026-04-26,Stat-Net Research Institute,baseline,Balad,,1.8
2026-04-26,Stat-Net Research Institute,baseline,Dems,1.0,
2026-04-26,Stat-Net Research Institute,baseline,Yisrael Beiteinu,0.0,
2026-04-26,Stat-Net Research Institute,baseline,Bennett 2026+Yesh Atid,0.0,
2026-04-26,Stat-Net Research Institute,baseline,Yashar,0.0,
2026-04-26,Stat-Net Research Institute,baseline,Likud,0.0,
2026-04-26,Stat-Net Research Institute,baseline,Shas,0.0,
2026-04-26,Stat-Net Research Institute,baseline,Balad+Hadash+Ra'am+Ta'al,16.0,
2026-04-26,Stat-Net Research Institute,baseline,Dems,0.0,
2026-04-26,Stat-Net Research Institute,baseline,Yisrael Beiteinu,0.0,
2026-04-26,Stat-Net Research Institute,baseline,Bennett 2026+Yesh Atid,0.0,
2026-04-26,Stat-Net Research Institute,baseline,Yashar,0.0,
2026-04-26,Stat-Net Research Institute,baseline,Likud,0.0,
2026-04-26,Stat-Net Research Institute,baseline,Shas,0.0,
2026-02-26,Lazar,baseline,Ra'am,5.0,
2026-02-26,Lazar,baseline,Hadash+Ta'al,5.0,
2026-02-26,Lazar,baseline,Balad,,1.8
2026-02-26,Lazar,baseline,Balad+Hadash+Ra'am+Ta'al,14.0,
2026-02-12,Midgam R&C,baseline,Ra'am,5.0,
2026-02-12,Midgam R&C,baseline,Hadash+Ta'al,5.0,
2026-02-12,Midgam R&C,baseline,Balad,,2.4
2026-02-12,Midgam R&C,baseline,Balad+Hadash+Ra'am+Ta'al,13.0,
2026-02-12,Yossi Tatika,baseline,Ra'am,5.0,
2026-02-12,Yossi Tatika,baseline,Hadash+Ta'al,6.0,
2026-02-12,Yossi Tatika,baseline,Balad+Hadash+Ra'am+Ta'al,15.0,
2026-02-11,Kantar,baseline,Ra'am,5.0,
2026-02-11,Kantar,baseline,Hadash+Ta'al,5.0,
2026-02-11,Kantar,baseline,Balad,,2.76
2026-02-11,Kantar,baseline,Balad+Hadash+Ra'am+Ta'al,13.0,
2026-02-04,Maagar Mochot,baseline,Ra'am,4.0,
2026-02-04,Maagar Mochot,baseline,Hadash+Ta'al,5.0,
2026-02-04,Maagar Mochot,baseline,Balad+Hadash+Ra'am+Ta'al,15.0,
2026-01-29,Yossi Tatika,baseline,Ra'am,6.0,
2026-01-29,Yossi Tatika,baseline,Hadash+Ta'al,5.0,
2026-01-29,Yossi Tatika,baseline,Balad+Hadash+Ra'am+Ta'al,16.0,
2025-12-04,Maagar Mochot,baseline,Ra'am,4.0,
2025-12-04,Maagar Mochot,baseline,Hadash+Ta'al,6.0,
2025-12-04,Maagar Mochot,baseline,Balad,,2.52
2025-12-04,Maagar Mochot,baseline,Balad+Hadash+Ra'am+Ta'al,16.0,
2025-11-18,Stat-Net Research Institute,baseline,Ra'am,3.0,
2025-11-18,Stat-Net Research Institute,baseline,Hadash+Ta'al,5.0,
2025-11-18,Stat-Net Research Institute,baseline,Balad,,2.6
2025-11-18,Stat-Net Research Institute,baseline,Dems,0.0,
2025-11-18,Stat-Net Research Institute,baseline,Yisrael Beiteinu,0.0,
2025-11-18,Stat-Net Research Institute,baseline,Yesh Atid,0.0,
2025-11-18,Stat-Net Research Institute,baseline,Bennett 2026,0.0,
2025-11-18,Stat-Net Research Institute,baseline,Likud,0.0,
2025-11-18,Stat-Net Research Institute,baseline,Balad+Hadash+Ra'am+Ta'al,15.0,
2025-11-18,Stat-Net Research Institute,baseline,Dems,0.0,
2025-11-18,Stat-Net Research Institute,baseline,Yesh Atid,0.0,
2025-11-18,Stat-Net Research Institute,baseline,Bennett 2026,0.0,
2025-11-18,Stat-Net Research Institute,baseline,Likud,0.0,
2025-11-20,Stat-Net Research Institute,baseline,Ra'am,4.0,
2025-11-20,Stat-Net Research Institute,baseline,Hadash+Ta'al,5.0,
2025-11-20,Stat-Net Research Institute,baseline,Ra'am,4.0,
2025-11-20,Stat-Net Research Institute,baseline,Balad+Hadash+Ta'al,10.0,
