cycle,block,polled_avg,actual,error
2009,Gil (Pensioners),0.6,0,0.6
2009,The Jewish Home,2.9,3,-0.1
2009,Kadima,23.4,28,-4.6
2009,Labor,15.2,13,2.2
2009,Likud,27.3,27,0.3
2009,Meretz,5.7,3,2.7
2009,National Union,3.7,4,-0.3
2009,Balad + Hadash-Ta'al + Ra'am-Ta'al,8.2,11,-2.8
2009,Shas,9.9,11,-1.1
2009,United Torah Judaism,5.7,5,0.7
2009,Yisrael Beytenu,17.7,15,2.7
2013,Am Shalem,1.8,0,1.8
2013,Balad,3.3,3,0.3
2013,Hadash-Ta'al,3.9,4,-0.1
2013,Hatnuah,7.2,6,1.2
2013,The Jewish Home + National Union,14.2,12,2.2
2013,Kadima,2.3,2,0.3
2013,Labor,16.7,15,1.7
2013,Likud + Yisrael Beytenu,33.9,31,2.9
2013,Meretz,5.4,6,-0.6
2013,Otzma Yehudit,2.3,0,2.3
2013,Ra'am-Ta'al,3.5,4,-0.5
2013,Shas,10.5,11,-0.5
2013,United Torah Judaism,5.9,7,-1.1
2013,Yesh Atid,10.8,19,-8.2
2015,Balad + Hadash-Ta'al + Ra'am-Ta'al,12.6,13,-0.4
2015,Hatnuah + Labor,24.4,24,0.4
2015,The Jewish Home,11.8,8,3.8
2015,Kulanu,8.9,10,-1.1
2015,Likud,22.0,30,-8.0
2015,Meretz,5.0,5,0.0
2015,Otzma Yehudit + Yachad (Yishai),4.0,0,4.0
2015,Shas,7.4,7,0.4
2015,United Torah Judaism,6.5,6,0.5
2015,Yesh Atid,12.2,11,1.2
2015,Yisrael Beytenu,5.2,6,-0.8
2019a,Blue and White,29.1,35,-5.9
2019a,Hadash-Ta'al,7.2,6,1.2
2019a,Kulanu,3.8,4,-0.2
2019a,Labor,9.7,6,3.7
2019a,Likud,28.9,35,-6.1
2019a,Meretz,5.6,4,1.6
2019a,New Right,6.1,0,6.1
2019a,Ra'am-Balad,4.0,4,0.0
2019a,Shas,5.3,8,-2.7
2019a,Union of Right-Wing Parties,6.7,5,1.7
2019a,United Torah Judaism,6.3,8,-1.7
2019a,Yisrael Beytenu,2.5,5,-2.5
2019a,Zehut,5.6,0,5.6
2019s,Blue and White,31.9,33,-1.1
2019s,Democratic Union,5.1,5,0.1
2019s,Joint List,12.3,13,-0.7
2019s,Labor-Gesher,5.3,6,-0.7
2019s,Likud,32.6,32,0.6
2019s,Otzma Yehudit,2.7,0,2.7
2019s,Shas,8.0,9,-1.0
2019s,United Torah Judaism,7.7,7,0.7
2019s,Yamina,7.4,7,0.4
2019s,Yisrael Beytenu,8.7,8,0.7
2020,Blue and White,33.1,33,0.1
2020,Joint List,14.0,15,-1.0
2020,Labor-Gesher-Meretz,7.9,7,0.9
2020,Likud,35.0,36,-1.0
2020,Shas,8.8,9,-0.2
2020,United Torah Judaism,7.4,7,0.4
2020,Yamina,7.2,6,1.2
2020,Yisrael Beytenu,6.6,7,-0.4
2021,Blue and White,6.1,8,-1.9
2021,Joint List,8.3,6,2.3
2021,Labor,5.9,7,-1.1
2021,Likud,30.6,30,0.6
2021,Meretz,5.3,6,-0.7
2021,New Hope,7.3,6,1.3
2021,Ra'am,1.7,4,-2.3
2021,Religious Zionist Party,5.9,6,-0.1
2021,Shas,8.6,9,-0.4
2021,United Torah Judaism,6.7,7,-0.3
2021,Yamina,8.3,7,1.3
2021,Yesh Atid,17.9,17,0.9
2021,Yisrael Beytenu,7.7,7,0.7
2022,Blue and White,11.6,12,-0.4
2022,Hadash-Ta'al,4.0,5,-1.0
2022,Labor,5.3,4,1.3
2022,Likud,30.6,32,-1.4
2022,Meretz,4.4,0,4.4
2022,Ra'am,4.4,5,-0.6
2022,Religious Zionist Party,14.0,14,0.0
2022,Shas,9.6,11,-1.4
2022,United Torah Judaism,7.0,7,0.0
2022,Yesh Atid,24.0,24,0.0
2022,Yisrael Beytenu,5.1,6,-0.9
