list,share_mean_%,p05_%,p95_%,margin_vs_3.25_pp,P_pass_%
Yashar,18.8,13.9,24.3,15.5,100.0
Likud,17.9,14.3,21.7,14.7,100.0
Bennett 2026 + Yesh Atid,10.1,7.3,13.3,6.8,100.0
The Democrats,7.6,6.5,8.7,4.3,100.0
Yisrael Beytenu,6.5,5.2,7.9,3.3,100.0
Otzma Yehudit,6.2,4.7,7.7,2.9,99.8
Shas,5.6,3.5,7.7,2.3,96.6
United Torah Judaism,5.3,3.6,7.1,2.1,96.9
Balad + Hadash-Ta'al,5.0,3.5,6.6,1.8,96.9
Ra'am,3.5,2.5,4.7,0.3,66.5
Religious Zionist Party,3.3,2.5,4.2,0.1,55.9
Winter,2.2,0.3,5.7,-1.0,19.8
Zionist Home – The Reservists,2.0,1.0,3.3,-1.2,5.8
Blue and White,1.3,0.8,1.8,-2.0,0.1
Zehut,1.2,0.1,2.3,-2.0,0.2
Unity,1.1,0.5,2.0,-2.1,0.4
New Economic Party,0.8,0.0,1.6,-2.4,0.0
Amcha Yisrael,0.7,0.6,0.9,-2.5,0.0
Noam,0.7,0.1,1.4,-2.5,0.0
