ref,pollster,editor_he,publisher_he,fieldwork_end,filed,cec_notes,n_parties_parsed,moe,undecided_pct,initial_sample,n,refused_pct
4036,Midgam Project & StatNet,שמואל רוזנר,ערוץ 13,2026-07-28,2026-08-02,,9,3.5,14.0,,,
4040,Kantar,קנטאר ישראל,"תאגיד השידור כאן , כנפי נשרים 23 , ירושלים",2026-08-02,2026-08-03,,15,,27.0,3012.0,,
4042,Tatika,טאטיקה מחקרים ומדיה,זמן ישראל,2026-07-29,2026-08-03,,12,4.4,,,500.0,
4046,Midgam,מדגם יעוץ ומחקר,חדשות 12,2026-08-03,2026-08-04,,13,,4.0,500.0,,
4047,Maagar Mochot,מאגר מוחות,ערוץ 16,2026-08-03,2026-08-05,,13,4.2,10.0,550.0,,
4048,Midgam Project & StatNet,שמואל רוזנר,ערוץ 13,2026-07-28,2026-08-05,,9,3.5,14.0,,,
4049,Filber,נקסט דאטה - שלמה פילבר,אתר סרוגים,2026-07-27,2026-08-05,"התבקשו השלמות - גודל המדגם ההתחלתי, המספר והאחוז של האנשים שסירבו או לא התאימו להשתתף בסקר, מרווח הטעות",3,,0.6,,656.0,
4052,Midgam Project & StatNet,שמואל רוזנר,ערוץ 13,2026-08-04,2026-08-06,,10,3.7,14.5,,,
4054,Lazar,"ד""ר מנחם לזר",עיתון מעריב,2026-07-29,2026-08-09,,13,4.4,9.0,500.0,,
4055,Lazar,מנחם לזר,עיתון מעריב,2026-08-05,2026-08-09,,11,4.4,8.2,500.0,,
4056,Kantar,קנטאר ישראל,"עיתון ישראל היום בע""מ",2026-08-05,2026-08-09,,12,,10.0,550.0,,
4057,Tatika,טאטיקה מחקרים ומדיה,זמן ישראל,2026-08-05,2026-08-09,,8,4.4,,11000.0,500.0,95.0
4059,Maagar Mochot,מאגר מוחות,ערוץ 16,2026-08-10,2026-08-11,,15,4.2,10.0,550.0,,
4061,Kantar,קנטאר ישראל,תאגיד השידור,2026-08-09,2026-08-11,,15,,29.0,550.0,,
4064,Midgam,מדגם יעוץ ומחקר,חדשות 12,2026-08-10,2026-08-11,,14,,6.0,500.0,,
4068,Direct Polls,"דיירקט פולס בע""מ","חדשות המזרח התיכון 24 בע""מ",2026-08-06,2026-08-13,,0,,,,,
4070,Filber,שלמה פילבר,ערוץ 14,2026-08-04,2026-08-13,"התבקשו השלמות - גודל המדגם ההתחלתי, פירוט אחוזי התמיכה הגולמיים בכל מפלגה כפי שעולה מתשובות הנשאלים לרבות לרשימות שלא עברו את אחוז החסימה (וזאת ללא התאמה כלשהי לאופן חלוקת המנדטים)",15,4.4,,,,
4071,Filber,שלמה פילבר,ערוץ 14,2026-08-10,2026-08-13,"התבקשו השלמות - גודל המדגם ההתחלתי, פירוט אחוזי התמיכה הגולמיים בכל מפלגה כפי שעולה מתשובות הנשאלים לרבות לרשימות שלא עברו את אחוז החסימה (וזאת ללא התאמה כלשהי לאופן חלוקת המנדטים)",15,4.3,59.0,,,
4072,Filber,שלמה פילבר,ערוץ 14,2026-07-29,2026-08-13,"התבקשו השלמות - גודל המדגם ההתחלתי, פירוט אחוזי התמיכה הגולמיים בכל מפלגה כפי שעולה מתשובות הנשאלים לרבות לרשימות שלא עברו את אחוז החסימה (וזאת ללא התאמה כלשהי לאופן חלוקת המנדטים)",15,4.6,,,,
4074,Tatika,טאטיקה מחקרים ומדיה,זמן ישראל,2026-08-12,2026-08-15,,8,4.4,,9000.0,500.0,93.0
