list,mean,p05,p95,p_pass
Yashar,24.1,17,32,1.0
Likud,22.9,16,30,1.0
Bennett 2026 + Yesh Atid,13.7,9,19,1.0
The Democrats,10.2,6,15,0.99
Yisrael Beytenu,8.7,4,14,0.958
Otzma Yehudit,7.8,0,12,0.938
Shas,7.7,0,13,0.921
United Torah Judaism,7.7,0,12,0.918
Balad + Hadash-Ta'al,6.2,0,11,0.847
Ra'am,3.8,0,9,0.613
Religious Zionist Party,3.2,0,8,0.529
Zionist Home – The Reservists,1.5,0,6,0.282
Amcha Yisrael,1.4,0,6,0.258
Blue and White,0.7,0,5,0.133
Unity,0.3,0,4,0.063
Zehut,0.0,0,0,0.002
Noam,0.0,0,0,0.0
New Economic Party,0.0,0,0,0.0
