pollster,unit,raw_mean,n_polls,house_effect,cycle
Camil Fuchs,Netanyahu bloc,-2.12,26,-2.09,2026
Direct Polls,Netanyahu bloc,8.02,84,7.99,2026
Filber,Netanyahu bloc,11.6,62,11.54,2026
Kantar,Netanyahu bloc,-2.09,53,-2.07,2026
Lazar,Netanyahu bloc,-5.73,181,-5.72,2026
Maagar Mochot,Netanyahu bloc,-1.83,43,-1.81,2026
Midgam,Netanyahu bloc,-4.22,111,-4.2,2026
Midgam Project,Netanyahu bloc,-3.28,10,-3.18,2026
Midgam Project & StatNet,Netanyahu bloc,0.45,2,0.39,2026
Panels Politics,Netanyahu bloc,-1.38,17,-1.36,2026
Smith Consulting,Netanyahu bloc,1.05,1,0.8,2026
Tatika,Netanyahu bloc,-3.55,57,-3.53,2026
Timor Group,Netanyahu bloc,-2.99,1,-2.27,2026
TrendZone,Netanyahu bloc,1.04,6,0.99,2026
Camil Fuchs,Anti-Netanyahu bloc,0.58,26,0.57,2026
Direct Polls,Anti-Netanyahu bloc,-7.95,84,-7.92,2026
Filber,Anti-Netanyahu bloc,-11.9,62,-11.84,2026
Kantar,Anti-Netanyahu bloc,1.92,53,1.91,2026
Lazar,Anti-Netanyahu bloc,5.89,181,5.88,2026
Maagar Mochot,Anti-Netanyahu bloc,1.9,43,1.88,2026
Midgam,Anti-Netanyahu bloc,4.47,111,4.45,2026
Midgam Project,Anti-Netanyahu bloc,3.43,10,3.32,2026
Midgam Project & StatNet,Anti-Netanyahu bloc,-0.79,2,-0.68,2026
Panels Politics,Anti-Netanyahu bloc,2.58,17,2.53,2026
Smith Consulting,Anti-Netanyahu bloc,-1.24,1,-0.92,2026
Tatika,Anti-Netanyahu bloc,3.75,57,3.73,2026
Timor Group,Anti-Netanyahu bloc,1.26,1,0.94,2026
TrendZone,Anti-Netanyahu bloc,-1.87,6,-1.77,2026
Camil Fuchs,Arab parties,1.54,26,1.39,2026
Direct Polls,Arab parties,-0.07,84,-0.07,2026
Filber,Arab parties,0.31,62,0.29,2026
Kantar,Arab parties,0.17,53,0.16,2026
Lazar,Arab parties,-0.16,181,-0.16,2026
Maagar Mochot,Arab parties,-0.07,43,-0.07,2026
Midgam,Arab parties,-0.25,111,-0.24,2026
Midgam Project,Arab parties,-0.15,10,-0.12,2026
Midgam Project & StatNet,Arab parties,0.34,2,0.15,2026
Panels Politics,Arab parties,-1.2,17,-1.03,2026
Smith Consulting,Arab parties,0.19,1,0.05,2026
Tatika,Arab parties,-0.21,57,-0.2,2026
Timor Group,Arab parties,1.73,1,0.47,2026
TrendZone,Arab parties,0.83,6,0.57,2026
Camil Fuchs,Netanyahu bloc,-0.1,20,-0.08,2022
Direct Polls,Netanyahu bloc,1.48,21,1.22,2022
Kantar,Netanyahu bloc,-0.24,17,-0.19,2022
Maagar Mochot,Netanyahu bloc,-0.42,8,-0.27,2022
Midgam,Netanyahu bloc,-0.72,26,-0.61,2022
Panels Politics,Netanyahu bloc,-0.37,33,-0.33,2022
Smith Consulting,Netanyahu bloc,-0.84,5,-0.44,2022
Camil Fuchs,Anti-Netanyahu bloc,0.01,20,0.01,2022
Direct Polls,Anti-Netanyahu bloc,-1.01,21,-0.71,2022
Kantar,Anti-Netanyahu bloc,0.29,17,0.19,2022
Maagar Mochot,Anti-Netanyahu bloc,0.63,8,0.3,2022
Midgam,Anti-Netanyahu bloc,0.63,26,0.47,2022
Panels Politics,Anti-Netanyahu bloc,-0.06,33,-0.05,2022
Smith Consulting,Anti-Netanyahu bloc,0.81,5,0.29,2022
Camil Fuchs,Arab parties,-0.37,20,-0.16,2022
Direct Polls,Arab parties,0.29,21,0.13,2022
Kantar,Arab parties,-0.03,17,-0.01,2022
Maagar Mochot,Arab parties,-0.32,8,-0.07,2022
Midgam,Arab parties,-0.08,26,-0.04,2022
Panels Politics,Arab parties,0.17,33,0.1,2022
Smith Consulting,Arab parties,0.05,5,0.01,2022
Camil Fuchs,Netanyahu bloc,-2.25,26,-2.09,2021
Direct Polls,Netanyahu bloc,2.17,13,1.9,2021
Geocartography,Netanyahu bloc,-0.95,2,-0.49,2021
Kantar,Netanyahu bloc,0.4,11,0.35,2021
Maagar Mochot,Netanyahu bloc,1.27,23,1.17,2021
Midgam,Netanyahu bloc,-0.47,30,-0.44,2021
Panels Politics,Netanyahu bloc,-0.2,49,-0.19,2021
Smith Consulting,Netanyahu bloc,1.11,3,0.68,2021
Camil Fuchs,Anti-Netanyahu bloc,1.94,26,1.64,2021
Direct Polls,Anti-Netanyahu bloc,-0.84,13,-0.61,2021
Geocartography,Anti-Netanyahu bloc,0.85,2,0.25,2021
Kantar,Anti-Netanyahu bloc,-0.68,11,-0.47,2021
Maagar Mochot,Anti-Netanyahu bloc,-0.83,23,-0.68,2021
Midgam,Anti-Netanyahu bloc,0.14,30,0.12,2021
Panels Politics,Anti-Netanyahu bloc,0.09,49,0.08,2021
Smith Consulting,Anti-Netanyahu bloc,-1.03,3,-0.39,2021
Camil Fuchs,Arab parties,-0.32,26,-0.19,2021
Direct Polls,Arab parties,-0.09,13,-0.04,2021
