pollster,unit,raw_mean,n_polls,house_effect,list
Direct Polls,0,-0.34,9,-0.25,Blue and White
Filber,0,-0.26,12,-0.21,Blue and White
Kantar,0,-0.22,17,-0.19,Blue and White
Lazar,0,-0.25,11,-0.2,Blue and White
Maagar Mochot,0,0.0,3,0.0,Blue and White
Midgam,0,-0.2,15,-0.17,Blue and White
Midgam Project,0,-0.19,10,-0.15,Blue and White
Tatika,0,1.23,13,0.99,Blue and White
Direct Polls,1,0.78,9,0.74,The Democrats
Filber,1,-0.26,12,-0.25,The Democrats
Kantar,1,-0.56,17,-0.55,The Democrats
Lazar,1,0.22,11,0.21,The Democrats
Maagar Mochot,1,1.06,3,0.93,The Democrats
Midgam,1,0.7,15,0.68,The Democrats
Midgam Project,1,0.88,10,0.84,The Democrats
Tatika,1,-1.97,13,-1.91,The Democrats
Direct Polls,2,4.98,9,4.95,Likud
Filber,2,9.1,12,9.05,Likud
Kantar,2,-1.81,17,-1.81,Likud
Lazar,2,-3.41,11,-3.39,Likud
Maagar Mochot,2,-2.81,3,-2.76,Likud
Midgam,2,-2.62,15,-2.61,Likud
Midgam Project,2,-2.83,10,-2.82,Likud
Tatika,2,-3.39,13,-3.38,Likud
Direct Polls,3,-0.42,9,-0.38,Otzma Yehudit
Filber,3,-1.0,12,-0.93,Otzma Yehudit
Kantar,3,1.07,17,1.01,Otzma Yehudit
Lazar,3,0.12,11,0.11,Otzma Yehudit
Maagar Mochot,3,1.28,3,0.96,Otzma Yehudit
Midgam,3,0.38,15,0.36,Otzma Yehudit
Midgam Project,3,0.08,10,0.07,Otzma Yehudit
Tatika,3,-0.77,13,-0.72,Otzma Yehudit
Direct Polls,4,0.44,9,0.32,Religious Zionist Party
Filber,4,0.93,12,0.73,Religious Zionist Party
Kantar,4,-0.09,17,-0.07,Religious Zionist Party
Lazar,4,-0.67,11,-0.52,Religious Zionist Party
Maagar Mochot,4,-1.16,3,-0.55,Religious Zionist Party
Midgam,4,-0.25,15,-0.2,Religious Zionist Party
Midgam Project,4,0.21,10,0.16,Religious Zionist Party
Tatika,4,-0.21,13,-0.17,Religious Zionist Party
Direct Polls,5,0.2,9,0.19,Shas
Filber,5,1.9,12,1.87,Shas
Kantar,5,-0.75,17,-0.74,Shas
Lazar,5,-0.97,11,-0.95,Shas
Maagar Mochot,5,1.4,3,1.31,Shas
Midgam,5,-0.64,15,-0.63,Shas
