event,outcome,probability,p_nb_61,p_neither,nb_mean
segalovitz_enters,True,0.147,0.102,0.684,50.9
segalovitz_enters,False,0.853,0.102,0.648,50.5
balad_splits,True,0.293,0.134,0.574,51.6
balad_splits,False,0.707,0.089,0.686,50.2
rzp_fate,withdraws,0.098,0.057,0.627,48.5
rzp_fate,alone,0.305,0.101,0.638,50.3
rzp_fate,merge_otzma,0.45,0.109,0.665,51.1
rzp_fate,merge_likud,0.147,0.113,0.668,51.0
zionist_home_folds,True,0.551,0.1,0.652,50.5
zionist_home_folds,False,0.449,0.105,0.655,50.7
blue_white_folds,True,0.648,0.101,0.652,50.5
blue_white_folds,False,0.352,0.104,0.655,50.8
unity_folds,True,0.702,0.106,0.656,50.8
unity_folds,False,0.298,0.094,0.646,50.2
